time_stamp,m_2
300010,43
300020,36
300030,37
300040,36
300050,37
300060,43
300070,39
300080,44
300090,45
300100,40
300110,38
300120,38
300130,42
300140,38
300150,37
300160,37
300170,32
300180,33
300190,30
300200,26
300210,17
300220,13
300230,9
300240,12
300250,18
300260,21
300270,25
300280,26
300290,32
300300,33
300310,36
300320,36
300330,38
300340,37
300350,35
300360,32
300370,36
300380,36
300390,34
300400,35
300410,34
300420,34
300430,36
300440,35
300450,32
300460,36
300470,37
300480,46
300490,49
300500,46
300510,45
300520,33
300530,31
300540,33
300550,33
300560,35
300570,34
300580,38
300590,40
300600,40
300610,40
300620,39
300630,38
300640,38
300650,34
300660,35
300670,34
300680,33
300690,34
300700,31
300710,30
300720,32
300730,30
300740,31
300750,29
300760,29
300770,27
300780,24
300790,26
300800,32
300810,32
300820,26
300830,29
300840,26
300850,31
300860,30
300870,26
300880,34
300890,37
300900,36
300910,30
300920,32
300930,32
300940,29
300950,31
300960,27
300970,31
300980,28
300990,33
301000,29
301010,30
301020,31
301030,34
301040,33
301050,36
301060,32
301070,34
301080,33
301090,32
301100,32
301110,32
301120,29
301130,28
301140,30
301150,29
301160,30
301170,34
301180,30
301190,31
301200,28
301210,28
301220,28
301230,33
301240,32
301250,33
301260,38
301270,32
301280,31
301290,29
301300,28
301310,30
301320,32
301330,29
301340,31
301350,29
301360,31
301370,32
301380,36
301390,43
301400,37
301410,38
301420,38
301430,37
301440,41
301450,40
301460,40
301470,46
301480,36
301490,35
301500,41
301510,43
301520,42
301530,44
301540,44
301550,38
301560,38
301570,36
301580,37
301590,34
301600,31
301610,35
301620,35
301630,33
301640,38
301650,39
301660,37
301670,36
301680,35
301690,34
301700,37
301710,33
301720,33
301730,35
301740,37
301750,40
301760,37
301770,38
301780,36
301790,41
301800,36
301810,33
301820,34
301830,34
301840,37
301850,39
301860,39
301870,40
301880,36
301890,31
301900,33
301910,32
301920,34
301930,32
301940,34
301950,34
301960,34
301970,35
301980,34
301990,35
302000,34
302010,37
302020,43
302030,41
302040,39
302050,41
302060,42
302070,33
302080,35
302090,39
302100,40
302110,43
302120,36
302130,33
302140,38
302150,34
302160,30
302170,29
302180,29
302190,31
302200,32
302210,28
302220,24
302230,27
302240,28
302250,29
302260,28
302270,40
302280,42
302290,34
302300,32
302310,44
302320,46
302330,46
302340,46
302350,45
302360,47
302370,48
302380,44
302390,43
302400,47
302410,52
302420,48
302430,42
302440,36
302450,34
302460,32
302470,34
302480,35
302490,34
302500,38
302510,32
302520,31
302530,29
302540,29
302550,29
302560,29
302570,29
302580,30
302590,33
302600,32
302610,33
302620,33
302630,35
302640,33
302650,38
302660,40
302670,40
302680,32
302690,36
302700,39
302710,38
302720,35
302730,37
302740,39
302750,37
302760,37
302770,37
302780,42
302790,44
302800,44
302810,43
302820,38
302830,39
302840,43
302850,41
302860,42
302870,42
302880,39
302890,36
302900,41
302910,39
302920,38
302930,41
302940,38
302950,38
302960,36
302970,38
302980,40
302990,39
303000,45
303010,39
303020,42
303030,38
303040,36
303050,41
303060,37
303070,35
303080,36
303090,40
303100,41
303110,39
303120,41
303130,39
303140,38
303150,44
303160,46
303170,41
303180,42
303190,39
303200,39
303210,39
303220,38
303230,39
303240,37
303250,40
303260,42
303270,40
303280,42
303290,43
303300,40
303310,40
303320,38
303330,40
303340,37
303350,38
303360,40
303370,39
303380,42
303390,48
303400,45
303410,45
303420,41
303430,42
303440,42
303450,41
303460,40
303470,41
303480,41
303490,43
303500,44
303510,44
303520,41
303530,40
303540,35
303550,38
303560,37
303570,37
303580,35
303590,36
303600,40
303610,39
303620,40
303630,41
303640,41
303650,39
303660,34
303670,31
303680,29
303690,34
303700,33
303710,38
303720,36
303730,35
303740,34
303750,36
303760,36
303770,31
303780,33
303790,29
303800,29
303810,30
303820,30
303830,34
303840,34
303850,28
303860,36
303870,37
303880,34
303890,33
303900,30
303910,31
303920,34
303930,31
303940,31
303950,32
303960,32
303970,35
303980,33
303990,32
304000,34
304010,35
304020,35
304030,35
304040,32
304050,33
304060,33
304070,31
304080,38
304090,38
304100,38
304110,34
304120,35
304130,33
304140,33
304150,29
304160,31
304170,32
304180,31
304190,30
304200,29
304210,31
304220,29
304230,30
304240,34
304250,32
304260,34
304270,33
304280,34
304290,35
304300,32
304310,33
304320,29
304330,41
304340,54
304350,54
304360,54
304370,53
304380,53
304390,53
304400,54
304410,53
304420,53
304430,53
304440,54
304450,56
304460,54
304470,57
304480,40
304490,41
304500,57
304510,58
304520,59
304530,62
304540,61
304550,63
304560,61
304570,59
304580,57
304590,60
304600,56
304610,56
304620,54
304630,55
304640,54
304650,41
304660,25
304670,25
304680,24
304690,25
304700,25
304710,25
304720,25
304730,24
304740,21
304750,23
304760,24
304770,26
304780,22
304790,22
304800,24
304810,24
304820,23
304830,27
304840,25
304850,24
304860,27
304870,31
304880,28
304890,23
304900,28
304910,28
304920,27
304930,25
304940,28
304950,30
304960,33
304970,42
304980,36
304990,27
305000,25
305010,26
305020,34
305030,25
305040,23
305050,25
305060,36
305070,35
305080,28
305090,24
305100,25
305110,27
305120,27
305130,33
305140,28
305150,28
305160,31
305170,30
305180,29
305190,29
305200,28
305210,29
305220,35
305230,31
305240,28
305250,31
305260,35
305270,34
305280,47
305290,35
305300,37
305310,36
305320,38
305330,33
305340,35
305350,37
305360,37
305370,45
305380,40
305390,46
305400,46
305410,48
305420,42
305430,46
305440,48
305450,45
305460,49
305470,45
305480,46
305490,42
305500,38
305510,38
305520,38
305530,41
305540,37
305550,42
305560,41
305570,41
305580,39
305590,38
305600,38
305610,40
305620,36
305630,33
305640,37
305650,37
305660,45
305670,47
305680,45
305690,41
305700,36
305710,36
305720,30
305730,29
305740,32
305750,36
305760,34
305770,32
305780,31
305790,35
305800,30
305810,31
305820,27
305830,29
305840,33
305850,33
305860,35
305870,32
305880,33
305890,35
305900,42
305910,41
305920,42
305930,45
305940,44
305950,44
305960,38
305970,40
305980,37
305990,36
306000,32
306010,32
306020,31
306030,31
306040,29
306050,25
306060,28
306070,27
306080,25
306090,27
306100,24
306110,24
306120,27
306130,26
306140,26
306150,24
306160,24
306170,22
306180,22
306190,20
306200,22
306210,23
306220,23
306230,24
306240,26
306250,33
306260,38
306270,36
306280,35
306290,36
306300,37
306310,36
306320,28
306330,24
306340,25
306350,26
306360,27
306370,24
306380,23
306390,30
306400,24
306410,28
306420,28
306430,23
306440,23
306450,21
306460,28
306470,27
306480,27
306490,25
306500,26
306510,28
306520,28
306530,29
306540,31
306550,31
306560,33
306570,32
306580,32
306590,29
306600,28
306610,29
306620,29
306630,27
306640,27
306650,27
306660,30
306670,27
306680,26
306690,29
306700,27
306710,26
306720,29
306730,32
306740,33
306750,33
306760,35
306770,35
306780,34
306790,33
306800,34
306810,34
306820,33
306830,29
306840,31
306850,32
306860,31
306870,38
306880,37
306890,43
306900,36
306910,38
306920,37
306930,33
306940,32
306950,30
306960,30
306970,33
306980,33
306990,31
307000,33
307010,33
307020,30
307030,27
307040,29
307050,29
307060,27
307070,32
307080,29
307090,26
307100,29
307110,26
307120,27
307130,29
307140,32
307150,30
307160,29
307170,33
307180,29
307190,27
307200,32
307210,30
307220,24
307230,28
307240,29
307250,27
307260,29
307270,29
307280,29
307290,33
307300,37
307310,41
307320,44
307330,46
307340,44
307350,40
307360,39
307370,35
307380,37
307390,34
307400,37
307410,41
307420,41
307430,36
307440,36
307450,33
307460,32
307470,30
307480,31
307490,39
307500,36
307510,40
307520,32
307530,36
307540,34
307550,45
307560,44
307570,45
307580,46
307590,46
307600,45
307610,47
307620,40
307630,37
307640,31
307650,28
307660,27
307670,28
307680,25
307690,25
307700,26
307710,26
307720,25
307730,26
307740,23
307750,24
307760,26
307770,23
307780,23
307790,22
307800,20
307810,21
307820,22
307830,24
307840,22
307850,19
307860,19
307870,26
307880,26
307890,23
307900,21
307910,23
307920,20
307930,21
307940,24
307950,28
307960,28
307970,28
307980,27
307990,32
308000,27
308010,28
308020,30
308030,30
308040,29
308050,29
308060,27
308070,29
308080,30
308090,25
308100,29
308110,31
308120,36
308130,39
308140,31
308150,28
308160,31
308170,30
308180,28
308190,26
308200,29
308210,27
308220,31
308230,31
308240,28
308250,33
308260,28
308270,33
308280,41
308290,42
308300,36
308310,33
308320,32
308330,29
308340,27
308350,29
308360,28
308370,25
308380,22
308390,26
308400,28
308410,30
308420,28
308430,31
308440,33
308450,30
308460,28
308470,26
308480,26
308490,27
308500,24
308510,31
308520,28
308530,30
308540,27
308550,29
308560,27
308570,24
308580,25
308590,28
308600,26
308610,25
308620,23
308630,22
308640,21
308650,24
308660,27
308670,30
308680,30
308690,30
308700,28
308710,29
308720,32
308730,33
308740,32
308750,30
308760,28
308770,29
308780,30
308790,31
308800,27
308810,26
308820,26
308830,29
308840,31
308850,33
308860,30
308870,29
308880,28
308890,28
308900,28
308910,28
308920,26
308930,29
308940,32
308950,33
308960,30
308970,32
308980,33
308990,32
309000,42
309010,46
309020,43
309030,41
309040,42
309050,49
309060,47
309070,46
309080,43
309090,41
309100,39
309110,41
309120,38
309130,43
309140,42
309150,39
309160,39
309170,38
309180,35
309190,37
309200,40
309210,45
309220,46
309230,47
309240,47
309250,50
309260,51
309270,52
309280,51
309290,44
309300,40
309310,41
309320,41
309330,47
309340,45
309350,47
309360,45
309370,54
309380,55
309390,50
309400,41
309410,41
309420,37
309430,36
309440,37
309450,36
309460,33
309470,32
309480,36
309490,32
309500,30
309510,34
309520,36
309530,33
309540,29
309550,35
309560,37
309570,35
309580,31
309590,33
309600,34
309610,34
309620,36
309630,35
309640,37
309650,34
309660,39
309670,39
309680,35
309690,33
309700,33
309710,34
309720,32
309730,36
309740,43
309750,45
309760,43
309770,43
309780,42
309790,42
309800,41
309810,45
309820,44
309830,44
309840,43
309850,41
309860,43
309870,42
309880,45
309890,43
309900,44
309910,44
309920,46
309930,45
309940,41
309950,48
309960,48
309970,42
309980,36
309990,36
310000,39
310010,41
310020,42
310030,44
310040,38
310050,44
310060,42
310070,38
310080,38
310090,36
310100,38
310110,36
310120,38
310130,39
310140,39
310150,38
310160,40
310170,38
310180,35
310190,37
310200,39
310210,38
310220,42
310230,39
310240,39
310250,40
310260,39
310270,38
310280,38
310290,39
310300,38
310310,40
310320,41
310330,40
310340,36
310350,38
310360,35
310370,36
310380,38
310390,37
310400,36
310410,38
310420,37
310430,37
310440,43
310450,40
310460,38
310470,38
310480,39
310490,41
310500,39
310510,37
310520,38
310530,44
310540,42
310550,41
310560,42
310570,41
310580,41
310590,42
310600,42
310610,40
310620,40
310630,43
310640,42
310650,43
310660,42
310670,44
310680,40
310690,40
310700,42
310710,40
310720,39
310730,39
310740,43
310750,40
310760,39
310770,40
310780,41
310790,43
310800,49
310810,49
310820,45
310830,43
310840,35
310850,38
310860,36
310870,38
310880,36
310890,37
310900,33
310910,34
310920,37
310930,34
310940,37
310950,34
310960,28
310970,35
310980,29
310990,26
311000,26
311010,29
311020,31
311030,29
311040,30
311050,38
311060,42
311070,41
311080,39
311090,29
311100,31
311110,33
311120,29
311130,28
311140,31
311150,34
311160,37
311170,34
311180,30
311190,37
311200,35
311210,31
311220,32
311230,31
311240,28
311250,27
311260,28
311270,28
311280,28
311290,28
311300,26
311310,31
311320,30
311330,31
311340,28
311350,31
311360,34
311370,33
311380,32
311390,31
311400,39
311410,43
311420,34
311430,34
311440,36
311450,45
311460,45
311470,40
311480,35
311490,32
311500,33
311510,33
311520,34
311530,30
311540,35
311550,34
311560,33
311570,32
311580,27
311590,28
311600,29
311610,29
311620,34
311630,34
311640,33
311650,30
311660,34
311670,35
311680,26
311690,34
311700,33
311710,33
311720,31
311730,31
311740,32
311750,33
311760,31
311770,29
311780,33
311790,33
311800,33
311810,37
311820,39
311830,36
311840,47
311850,43
311860,35
311870,35
311880,35
311890,32
311900,36
311910,35
311920,35
311930,28
311940,30
311950,30
311960,33
311970,32
311980,30
311990,28
312000,32
312010,29
312020,29
312030,30
312040,30
312050,34
312060,30
312070,32
312080,30
312090,28
312100,25
312110,28
312120,29
312130,29
312140,26
312150,27
312160,34
312170,37
312180,34
312190,29
312200,32
312210,31
312220,27
312230,27
312240,30
312250,30
312260,27
312270,30
312280,31
312290,31
312300,29
312310,30
312320,40
312330,35
312340,33
312350,32
312360,31
312370,32
312380,37
312390,30
312400,30
312410,32
312420,34
312430,29
312440,28
312450,33
312460,36
312470,33
312480,31
312490,32
312500,25
312510,24
312520,29
312530,22
312540,20
312550,17
312560,24
312570,23
312580,25
312590,28
312600,27
312610,26
312620,23
312630,25
312640,28
312650,30
312660,25
312670,26
312680,24
312690,34
312700,55
312710,31
312720,20
312730,26
312740,30
312750,25
312760,24
312770,28
312780,26
312790,26
312800,25
312810,30
312820,26
312830,26
312840,28
312850,25
312860,26
312870,29
312880,29
312890,29
312900,30
312910,27
312920,28
312930,32
312940,29
312950,29
312960,30
312970,30
312980,28
312990,27
313000,27
313010,27
313020,30
313030,28
313040,29
313050,24
313060,29
313070,28
313080,26
313090,25
313100,25
313110,29
313120,29
313130,30
313140,30
313150,30
313160,29
313170,29
313180,28
313190,30
313200,33
313210,29
313220,27
313230,29
313240,33
313250,34
313260,30
313270,32
313280,32
313290,32
313300,32
313310,31
313320,27
313330,26
313340,33
313350,29
313360,41
313370,43
313380,37
313390,40
313400,37
313410,34
313420,38
313430,33
313440,30
313450,30
313460,31
313470,30
313480,25
313490,28
313500,26
313510,29
313520,34
313530,28
313540,26
313550,26
313560,28
313570,25
313580,27
313590,26
313600,31
313610,27
313620,25
313630,24
313640,28
313650,25
313660,25
313670,24
313680,24
313690,23
313700,25
313710,23
313720,27
313730,26
313740,21
313750,29
313760,30
313770,39
313780,38
313790,35
313800,37
313810,31
313820,38
313830,36
313840,33
313850,32
313860,31
313870,22
313880,26
313890,31
313900,28
313910,32
313920,26
313930,21
313940,25
313950,22
313960,23
313970,22
313980,21
313990,20
314000,29
314010,30
314020,31
314030,30
314040,28
314050,24
314060,27
314070,29
314080,23
314090,25
314100,24
314110,25
314120,22
314130,26
314140,28
314150,39
314160,44
314170,41
314180,40
314190,38
314200,36
314210,32
314220,29
314230,28
314240,26
314250,27
314260,27
314270,25
314280,29
314290,29
314300,27
314310,27
314320,24
314330,26
314340,25
314350,26
314360,23
314370,23
314380,20
314390,23
314400,25
314410,25
314420,23
314430,21
314440,23
314450,25
314460,23
314470,27
314480,27
314490,29
314500,27
314510,24
314520,21
314530,25
314540,24
314550,23
314560,28
314570,33
314580,35
314590,32
314600,32
314610,32
314620,32
314630,40
314640,40
314650,30
314660,28
314670,32
314680,36
314690,35
314700,36
314710,42
314720,44
314730,44
314740,29
314750,31
314760,34
314770,36
314780,35
314790,34
314800,42
314810,31
314820,30
314830,28
314840,28
314850,25
314860,24
314870,22
314880,24
314890,30
314900,31
314910,40
314920,39
314930,41
314940,35
314950,37
314960,34
314970,50
314980,55
314990,27
315000,24
315010,24
315020,26
315030,25
315040,26
315050,24
315060,21
315070,25
315080,26
315090,29
315100,22
315110,23
315120,22
315130,23
315140,23
315150,24
315160,25
315170,24
315180,24
315190,23
315200,23
315210,24
315220,26
315230,20
315240,18
315250,18
315260,19
315270,25
